burst_behavior,burst_index,cv,freq_variance,kurtosis,modalirity_burst,name,nu,pause_index,pause_ratio,skewness,temp,x,y
0.0,0.0,1.05140804653,98.9355742297,3.90458458466,0.0,Cell#121,1.09174926964,12.5,61.176,1.39896428213,40.0,470.9,63.2
0.0,0.0,1.12563180915,99.3421052632,4.14226867733,0.0,Cell#122,1.39976687542,12.0,111.032,1.48134057293,40.0,476.6,51.7
0.0,0.0,1.18089668509,99.4916003537,7.18309974465,0.0,Cell#124,1.46932527179,8.0,73.9471544715,2.02065974049,40.0,488.1,66.0
0.0,0.0,0.994782571885,99.0468625894,5.25740860327,0.0,Cell#126,0.963302657773,5.44444444444,18.1505466779,1.63938214812,40.0,499.6,57.4
0.0,0.0,1.11951189925,99.5153061224,1.90207439996,0.0,Cell#128,0.961920964531,11.0,148.882352941,0.798409755371,40.0,519.7,100.5
0.0,0.0,1.11161270225,99.485472155,3.58861534151,0.0,Cell#133,1.29227877765,9.0,77.6340425532,1.25558154668,40.0,534.0,166.5
0.0,0.0,0.944203370198,99.6,2.47532480263,0.0,Cell#134,1.16421050724,13.0,158.643478261,0.741073464758,40.0,539.8,114.8
0.0,0.0,1.62524990154,99.6654959023,12.5067227823,0.0,Cell#141,1.50401846979,10.0,75.5968992248,3.1812603581,40.0,562.7,120.6
0.0,0.0,1.699963371,99.7297726911,12.5714872565,0.0,Cell#144,1.74106284695,16.0,137.111111111,3.29653632072,40.0,585.7,103.4
0.0,0.0,0.703048231449,98.7331426236,1.92231304679,0.0,Cell#145,0.844375661987,13.0,127.809160305,0.330571519948,40.0,591.4,80.4
0.0,0.0,0.951568251434,99.4222038795,2.60712936827,0.0,Cell#146,1.15749441926,5.66666666667,46.9833333333,0.84315134907,40.0,591.4,166.5
0.0,0.0,1.46702676864,99.4366197183,4.47155491136,0.0,Cell#147,1.46939445704,4.66666666667,39.8290816327,1.76419346046,40.0,591.4,132.1
0.0,0.0,1.07322964307,99.6617466175,3.3599532457,0.0,Cell#151,1.33422367624,4.66666666667,42.8770053476,1.18749735137,40.0,608.7,132.1
0.0,0.0,2.21239170572,99.7774577824,20.9560064633,0.0,Cell#155,1.56853333823,11.0,69.196969697,4.44274293754,40.0,637.4,169.4
0.0,0.0,0.883659244732,98.9066770793,4.86262564257,0.0,Cell#156,1.08367185172,24.0,155.78125,1.51914983051,40.0,646.0,157.9
0.0,0.0,0.944753450988,99.1596638655,3.78462038201,0.0,Cell#005,0.993181727422,14.0,77.3536585366,1.38983991678,40.0,51.7,132.1
0.0,0.0,0.98912994819,99.5708154506,3.55900411575,0.0,Cell#016,1.10797525235,12.0,81.3830645161,1.23394433838,40.0,91.9,91.9
0.0,0.0,0.865246131154,99.6801462189,4.33682569022,0.0,Cell#017,1.05380127928,5.0,69.124,1.2409923171,40.0,97.6,143.6
0.0,0.0,0.903501192693,93.9736346516,5.33325785349,0.0,Cell#018,1.23874905155,1.0,1.0,1.8282822956,40.0,103.4,129.2
0.0,0.0,0.777824757959,98.0343980344,5.21530820456,0.0178571428571,Cell#021,0.844268656128,2.5625,4.64338950097,1.42708370903,40.0,120.6,123.5
0.0,0.0,0.585204018947,90.1423299947,2.88299529882,0.0,Cell#024,0.712008079987,1.0,1.0,0.809379982416,40.0,137.8,160.8
0.0,0.0,1.0289917937,97.3272675576,6.09010701954,0.0,Cell#030,1.19371263766,1.0,1.0,1.82708540124,40.0,166.5,129.2
0.0,0.0,0.794023575739,99.2540792541,3.69660873279,0.0,Cell#031,0.993814875035,10.5,78.3004291845,1.12714421346,40.0,169.4,97.6
0.0,0.0,0.574735387011,96.0947503201,3.26089374882,0.0,Cell#032,0.749320159326,1.0,1.0,0.479154527952,40.0,175.1,74.6
0.0,0.0,0.879983773478,99.5040297582,4.2324999799,0.0,Cell#034,1.20519505837,15.0,143.586206897,1.26893276855,40.0,178.0,134.9
