name,x,y,burst_index,cv,nu,freq_variance,modalirity_burst,pause_index,pause_ratio,burst_behavior,skewness,kurtosis
Cell#008,51.7,120.6,0.0,1.14002892419,1.25143348849,99.5034454803,0.0434782608696,3.0,17.2754654984,0.0,1.58201219755,4.77506577313
Cell#009,54.6,149.3,0.0,0.820099551594,0.884678298004,97.5814063237,0.0,11.0,62.5460992908,0.0,1.04095072235,2.94587940942
Cell#019,97.6,123.5,0.0,1.44673322056,1.25161565625,99.5041322314,0.0,4.2,18.1409458619,0.0,2.3279232144,7.71968236575
Cell#021,109.1,74.6,0.0,0.888851528536,1.14433213055,99.8501498501,0.105263157895,4.25,28.8747906198,0.0,1.11004670527,3.96634606935
Cell#022,112.0,23.0,0.0,2.20026662062,0.94595205316,99.8206728355,0.0352941176471,1.75,4.42979383507,0.0153846153846,6.73143003558,53.0560826848
Cell#023,120.6,57.4,0.0,1.86184471263,2.02262043411,99.9525644827,0.181818181818,3.33333333333,20.224137931,0.0,3.02799417353,10.312581807
Cell#025,129.2,34.5,0.0,1.5869758875,1.34422059338,99.4476383722,0.0,10.5,53.1571856287,0.0,2.44213888609,8.4240787996
Cell#026,137.8,100.5,0.0,1.00660236069,1.14324175814,99.5546483578,0.0769230769231,3.66666666667,30.8152831226,0.0,0.727616257769,2.10095153935
Cell#027,137.8,123.5,0.0,1.38392830285,0.936936660829,99.7155499368,0.0425531914894,2.76923076923,8.17142857143,0.0,2.21651808605,6.8997802006
Cell#030,160.8,25.8,0.0,0.899659766882,1.0539245679,99.8340707965,0.181818181818,5.5,54.7740384615,0.0,0.803847892221,2.53375877836
Cell#033,183.8,114.8,0.0,2.47725217758,1.80071178863,99.8424316357,0.0625,1.125,7.3930417495,0.0,3.08961186158,10.8365795636
Cell#035,198.1,63.2,0.0,0.913825860534,0.96989070749,94.9375866852,0.0,1.0,1.0,0.0,1.93426703747,6.06062768966
Cell#039,223.9,57.4,0.0,1.00705461068,1.18841975002,96.5204606714,0.0,1.0,1.0,0.0,1.36109439795,3.37425054023
Cell#041,232.6,34.5,0.0,1.06389272844,1.22299484073,98.5703782371,0.0,17.0,104.183703704,0.0,1.41051217542,3.55126946894
Cell#042,238.3,137.8,0.0,1.13455265799,1.06531935499,99.5934369101,0.0285714285714,4.14285714286,16.4294322132,0.0,1.79178667761,5.36751730782
Cell#045,258.4,83.3,0.0,1.53290976129,0.990454813494,99.8849613052,0.0652173913043,2.0625,7.62674570481,0.0,2.54175640364,9.46350046574
Cell#046,264.1,45.9,0.0,1.3612582725,1.55016150282,99.9377757665,0.133333333333,1.83333333333,18.2874794069,0.0,1.50501290397,4.51109967206
Cell#051,304.3,109.1,0.0,1.15691059379,1.05151602101,99.4392012037,0.0181818181818,2.5,8.03801111552,0.0,2.48786108065,10.7740411775
Cell#052,307.2,80.4,0.0,1.73844627158,1.27584568942,99.9586620276,0.2,3.0,34.484318456,0.0,2.94983718547,9.78398308505
